date,open_price,close_price,price_change_pct,liquidations_tradfi_adjusted,avg_health_factor,avg_effective_ltv,reductions_applied_today,unique_liquidated_today
2015-08-07 00:00:00+00:00,2.0,2.83,41.5,0,1.7573267689571992,0.45880000000000004,500,0
2015-08-08 00:00:00+00:00,2.83,1.33,-53.003533568904594,340,0.9456300119060821,0.4574000000000001,500,340
2015-08-10 00:00:00+00:00,1.33,0.687585709,-48.30182639097744,307,1.0198439519600127,0.4578000000000001,500,307
2015-08-11 00:00:00+00:00,0.687585709,1.067378879,55.23575679784817,0,1.8185371838244577,0.4570000000000001,500,0
2015-08-12 00:00:00+00:00,1.067378879,1.256613175,17.728877694983876,0,1.6691579960876828,0.45320000000000005,500,0
2015-08-13 00:00:00+00:00,1.256613175,1.825395446,45.263115357675595,0,1.7719197999512866,0.4566,500,0
2015-08-14 00:00:00+00:00,1.825395446,1.825974891,0.031743532683277405,0,1.5431814809106168,0.4564000000000001,500,0
2015-08-15 00:00:00+00:00,1.825974891,1.67,-8.542006342408136,0,1.4686557058820235,0.4574000000000001,500,0
2015-08-16 00:00:00+00:00,1.67,1.476607254,-11.580403952095809,0,1.4539848765661427,0.4564000000000001,500,0
2015-08-17 00:00:00+00:00,1.476607254,1.2,-18.73262191084969,0,1.3898321580139812,0.4578000000000001,500,0
2015-08-18 00:00:00+00:00,1.2,1.281393052,6.782754333333345,0,1.5762079681739274,0.45960000000000006,500,0
2015-08-19 00:00:00+00:00,1.281393052,1.252738652,-2.2361913040870918,0,1.5282678113015198,0.45560000000000006,500,0
2015-08-20 00:00:00+00:00,1.252738652,1.484195074,18.476034217550446,0,1.6450931099198425,0.45960000000000006,500,0
2015-08-21 00:00:00+00:00,1.484195074,1.41,-4.999010931901269,0,1.499972635695343,0.4584000000000001,500,0
2015-08-22 00:00:00+00:00,1.41,1.380721536,-2.076486808510631,0,1.5255019679778445,0.4574000000000001,500,0
2015-08-23 00:00:00+00:00,1.380721536,1.3551821,-1.8497166397497316,0,1.5315720480359865,0.45620000000000005,500,0
2015-08-24 00:00:00+00:00,1.3551821,1.25,-7.761473531859663,0,1.479377474034877,0.45800000000000013,500,0
2015-08-25 00:00:00+00:00,1.25,1.160828328,-7.133733759999998,0,1.48874514894949,0.4574000000000001,500,0
2015-08-26 00:00:00+00:00,1.160828328,1.119639156,-3.5482569650040396,0,1.5155134305391105,0.45760000000000006,500,0
2015-08-27 00:00:00+00:00,1.119639156,1.133690694,1.2550059476483617,0,1.5498816614528306,0.45660000000000006,500,0
2015-08-28 00:00:00+00:00,1.133690694,1.188895699,4.869494412556227,0,1.573602154220919,0.4572000000000001,500,0
2015-08-29 00:00:00+00:00,1.188895699,1.174343905,-1.223975661804455,0,1.5287489759164141,0.4582000000000001,500,0
2015-08-30 00:00:00+00:00,1.174343905,1.32235088,12.603375754736849,0,1.6300018225093713,0.4570000000000001,500,0
2015-08-31 00:00:00+00:00,1.32235088,1.353368417,2.3456359026282114,0,1.565116712069915,0.4552000000000001,500,0
2015-09-01 00:00:00+00:00,1.353368417,1.350786689,-0.1907631334949355,0,1.5387291499041942,0.4574000000000001,500,0
2015-09-02 00:00:00+00:00,1.350786689,1.278810765,-5.328444867433838,0,1.5002555942497635,0.4574000000000001,500,0
2015-09-03 00:00:00+00:00,1.278810765,1.26277072,-1.2542938673182034,0,1.5304911113743724,0.4578000000000001,500,0
2015-09-04 00:00:00+00:00,1.26277072,1.2695201,0.5344897449000106,0,1.5425055465002029,0.45800000000000013,500,0
2015-09-05 00:00:00+00:00,1.2695201,1.334976229,5.155974214193219,0,1.5746179019202489,0.45860000000000006,500,0
2015-09-06 00:00:00+00:00,1.334976229,1.3,-2.619988898693714,0,1.5197684221595231,0.45820000000000005,500,0
2015-09-07 00:00:00+00:00,1.3,1.25622344,-3.3674276923076896,0,1.5115596660704387,0.4590000000000001,500,0
2015-09-08 00:00:00+00:00,1.25622344,1.236033261,-1.607212408009206,0,1.5269567868975673,0.4578000000000001,500,0
2015-09-09 00:00:00+00:00,1.236033261,1.206529945,-2.386935443479138,0,1.5246205515366815,0.4570000000000001,500,0
2015-09-10 00:00:00+00:00,1.206529945,1.167234841,-3.2568693518833487,0,1.5154434615577912,0.4584000000000001,500,0
2015-09-11 00:00:00+00:00,1.167234841,0.976509093,-16.33996358749884,0,1.4101217845260234,0.4574000000000001,500,0
2015-09-12 00:00:00+00:00,0.976509093,1.038203585,6.317861496861657,0,1.5683776152792912,0.46080000000000004,500,0
2015-09-13 00:00:00+00:00,1.038203585,0.93865215,-9.588816339908899,0,1.47413691888502,0.4554000000000001,500,0
2015-09-14 00:00:00+00:00,0.93865215,0.87,-7.313907500238509,0,1.4883019751963562,0.45600000000000007,500,0
2015-09-15 00:00:00+00:00,0.87,0.941823186,8.25553862068966,0,1.5953960452512224,0.4572000000000001,500,0
2015-09-16 00:00:00+00:00,0.941823186,0.90321992,-4.098780596382565,0,1.5109150276309624,0.45660000000000006,500,0
2015-09-17 00:00:00+00:00,0.90321992,0.883078729,-2.2299321077861087,0,1.5224500819227433,0.4576,500,0
